Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
44,1966,1,Andhra Pradesh,Srikakulam,rice,279000,810.04,20.251,9.72048,17.82088,5650029,2712013.92,4972025.52,25,80,6.5,1200,2,18
44,1966,1,Andhra Pradesh,Srikakulam,maize,1000,1000,27,12,17,27000,12000,17000,22,70,6,800,2.5,20
44,1967,1,Andhra Pradesh,Srikakulam,rice,277000,696.75,17.41875,8.361,15.3285,4824993.75,2315997,4245994.5,25,80,6.5,1200,2,18
44,1967,1,Andhra Pradesh,Srikakulam,maize,200,1500,40.5,18,25.5,8100,3600,5100,22,70,6,800,2.5,20
44,1968,1,Andhra Pradesh,Srikakulam,rice,305300,563.38,14.0845,6.76056,12.39436,4299997.85,2063998.968,3783998.108,25,80,6.5,1200,2,18
44,1968,1,Andhra Pradesh,Srikakulam,maize,200,500,13.5,6,8.5,2700,1200,1700,22,70,6,800,2.5,20
44,1969,1,Andhra Pradesh,Srikakulam,rice,266300,862.56,21.564,10.35072,18.97632,5742493.2,2756396.736,5053394.016,25,80,6.5,1200,2,18
44,1969,1,Andhra Pradesh,Srikakulam,maize,400,1250,33.75,15,21.25,13500,6000,8500,22,70,6,800,2.5,20
44,1970,1,Andhra Pradesh,Srikakulam,rice,281100,1059.77,26.49425,12.71724,23.31494,7447533.675,3574816.164,6553829.634,25,80,6.5,1200,2,18
44,1970,1,Andhra Pradesh,Srikakulam,maize,300,1333.33,35.99991,15.99996,22.66661,10799.973,4799.988,6799.983,22,70,6,800,2.5,20
44,1970,1,Andhra Pradesh,Srikakulam,chickpea,100,1000,18,10,18,1800,1000,1800,20,60,6.5,600,1.5,16
44,1971,1,Andhra Pradesh,Srikakulam,rice,267000,1433.71,35.84275,17.20452,31.54162,9570014.25,4593606.84,8421612.54,25,80,6.5,1200,2,18
44,1971,1,Andhra Pradesh,Srikakulam,maize,200,1000,27,12,17,5400,2400,3400,22,70,6,800,2.5,20
44,1972,1,Andhra Pradesh,Srikakulam,rice,259900,1118.51,27.96275,13.42212,24.60722,7267518.725,3488408.988,6395416.478,25,80,6.5,1200,2,18
44,1972,1,Andhra Pradesh,Srikakulam,maize,200,1000,27,12,17,5400,2400,3400,22,70,6,800,2.5,20
44,1973,1,Andhra Pradesh,Srikakulam,rice,263400,1202.35,30.05875,14.4282,26.4517,7917474.75,3800387.88,6967377.78,25,80,6.5,1200,2,18
44,1973,1,Andhra Pradesh,Srikakulam,maize,200,1500,40.5,18,25.5,8100,3600,5100,22,70,6,800,2.5,20
44,1974,1,Andhra Pradesh,Srikakulam,rice,214200,711.95,17.79875,8.5434,15.6629,3812492.25,1829996.28,3354993.18,25,80,6.5,1200,2,18
44,1974,1,Andhra Pradesh,Srikakulam,maize,200,1500,40.5,18,25.5,8100,3600,5100,22,70,6,800,2.5,20
44,1975,1,Andhra Pradesh,Srikakulam,rice,270200,1301.26,32.5315,15.61512,28.62772,8790011.3,4219205.424,7735209.944,25,80,6.5,1200,2,18
44,1975,1,Andhra Pradesh,Srikakulam,maize,200,1000,27,12,17,5400,2400,3400,22,70,6,800,2.5,20
44,1976,1,Andhra Pradesh,Srikakulam,rice,272200,810.8,20.27,9.7296,17.8376,5517494,2648397.12,4855394.72,25,80,6.5,1200,2,18
44,1976,1,Andhra Pradesh,Srikakulam,maize,200,1000,27,12,17,5400,2400,3400,22,70,6,800,2.5,20
44,1976,1,Andhra Pradesh,Srikakulam,chickpea,400,250,4.5,2.5,4.5,1800,1000,1800,20,60,6.5,600,1.5,16
44,1977,1,Andhra Pradesh,Srikakulam,rice,263200,860.18,21.5045,10.32216,18.92396,5659984.4,2716792.512,4980786.272,25,80,6.5,1200,2,18
44,1977,1,Andhra Pradesh,Srikakulam,maize,500,1400,37.8,16.8,23.8,18900,8400,11900,22,70,6,800,2.5,20
44,1977,1,Andhra Pradesh,Srikakulam,chickpea,400,500,9,5,9,3600,2000,3600,20,60,6.5,600,1.5,16
44,1978,1,Andhra Pradesh,Srikakulam,rice,274000,1055.11,26.37775,12.66132,23.21242,7227503.5,3469201.68,6360203.08,25,80,6.5,1200,2,18
44,1978,1,Andhra Pradesh,Srikakulam,maize,200,1000,27,12,17,5400,2400,3400,22,70,6,800,2.5,20
44,1978,1,Andhra Pradesh,Srikakulam,chickpea,500,400,7.2,4,7.2,3600,2000,3600,20,60,6.5,600,1.5,16
44,1979,1,Andhra Pradesh,Srikakulam,rice,267000,985.02,24.6255,11.82024,21.67044,6575008.5,3156004.08,5786007.48,25,80,6.5,1200,2,18
44,1979,1,Andhra Pradesh,Srikakulam,maize,200,500,13.5,6,8.5,2700,1200,1700,22,70,6,800,2.5,20
44,1979,1,Andhra Pradesh,Srikakulam,chickpea,600,500,9,5,9,5400,3000,5400,20,60,6.5,600,1.5,16
44,1980,1,Andhra Pradesh,Srikakulam,rice,276000,1398.55,34.96375,16.7826,30.7681,9649995,4631997.6,8491995.6,25,80,6.5,1200,2,18
44,1980,1,Andhra Pradesh,Srikakulam,maize,200,1000,27,12,17,5400,2400,3400,22,70,6,800,2.5,20
44,1980,1,Andhra Pradesh,Srikakulam,chickpea,400,250,4.5,2.5,4.5,1800,1000,1800,20,60,6.5,600,1.5,16
44,1981,1,Andhra Pradesh,Srikakulam,rice,273000,1439.56,35.989,17.27472,31.67032,9824997,4715998.56,8645997.36,25,80,6.5,1200,2,18
44,1981,1,Andhra Pradesh,Srikakulam,maize,200,3000,81,36,51,16200,7200,10200,22,70,6,800,2.5,20
44,1981,1,Andhra Pradesh,Srikakulam,chickpea,400,500,9,5,9,3600,2000,3600,20,60,6.5,600,1.5,16
44,1982,1,Andhra Pradesh,Srikakulam,rice,259500,1557.23,38.93075,18.68676,34.25906,10102529.63,4849214.22,8890226.07,25,80,6.5,1200,2,18
44,1982,1,Andhra Pradesh,Srikakulam,maize,300,2333.33,62.99991,27.99996,39.66661,18899.973,8399.988,11899.983,22,70,6,800,2.5,20
44,1982,1,Andhra Pradesh,Srikakulam,chickpea,500,800,14.4,8,14.4,7200,4000,7200,20,60,6.5,600,1.5,16
44,1983,1,Andhra Pradesh,Srikakulam,rice,274800,1905.75,47.64375,22.869,41.9265,13092502.5,6284401.2,11521402.2,25,80,6.5,1200,2,18
44,1983,1,Andhra Pradesh,Srikakulam,maize,300,3000,81,36,51,24300,10800,15300,22,70,6,800,2.5,20
44,1983,1,Andhra Pradesh,Srikakulam,chickpea,500,600,10.8,6,10.8,5400,3000,5400,20,60,6.5,600,1.5,16
44,1984,1,Andhra Pradesh,Srikakulam,rice,271800,1225.17,30.62925,14.70204,26.95374,8325030.15,3996014.472,7326026.532,25,80,6.5,1200,2,18
44,1984,1,Andhra Pradesh,Srikakulam,maize,200,1500,40.5,18,25.5,8100,3600,5100,22,70,6,800,2.5,20
44,1984,1,Andhra Pradesh,Srikakulam,chickpea,200,500,9,5,9,1800,1000,1800,20,60,6.5,600,1.5,16
44,1985,1,Andhra Pradesh,Srikakulam,rice,264900,2015.48,50.387,24.18576,44.34056,13347516.3,6406807.824,11745814.34,25,80,6.5,1200,2,18
44,1985,1,Andhra Pradesh,Srikakulam,maize,300,1333.33,35.99991,15.99996,22.66661,10799.973,4799.988,6799.983,22,70,6,800,2.5,20
44,1985,1,Andhra Pradesh,Srikakulam,chickpea,300,666.67,12.00006,6.6667,12.00006,3600.018,2000.01,3600.018,20,60,6.5,600,1.5,16
44,1986,1,Andhra Pradesh,Srikakulam,rice,278000,1589.93,39.74825,19.07916,34.97846,11050013.5,5304006.48,9724011.88,25,80,6.5,1200,2,18
44,1986,1,Andhra Pradesh,Srikakulam,maize,300,1333.33,35.99991,15.99996,22.66661,10799.973,4799.988,6799.983,22,70,6,800,2.5,20
44,1987,1,Andhra Pradesh,Srikakulam,rice,75000,1266.67,31.66675,15.20004,27.86674,2375006.25,1140003,2090005.5,25,80,6.5,1200,2,18
44,1987,1,Andhra Pradesh,Srikakulam,maize,200,1500,40.5,18,25.5,8100,3600,5100,22,70,6,800,2.5,20
44,1988,1,Andhra Pradesh,Srikakulam,rice,272800,2026.39,50.65975,24.31668,44.58058,13819979.8,6633590.304,12161582.22,25,80,6.5,1200,2,18
44,1988,1,Andhra Pradesh,Srikakulam,maize,200,1500,40.5,18,25.5,8100,3600,5100,22,70,6,800,2.5,20
44,1989,1,Andhra Pradesh,Srikakulam,rice,281900,2171.34,54.2835,26.05608,47.76948,15302518.65,7345208.952,13466216.41,25,80,6.5,1200,2,18
44,1989,1,Andhra Pradesh,Srikakulam,maize,200,2050,55.35,24.6,34.85,11070,4920,6970,22,70,6,800,2.5,20
44,1990,1,Andhra Pradesh,Srikakulam,rice,282240,1772.81,44.32025,21.27372,39.00182,12508947.36,6004294.733,11007873.68,25,80,6.5,1200,2,18
44,1990,1,Andhra Pradesh,Srikakulam,maize,190,1837.84,49.62168,22.05408,31.24328,9428.1192,4190.2752,5936.2232,22,70,6,800,2.5,20
44,1990,1,Andhra Pradesh,Srikakulam,chickpea,50,727.27,13.09086,7.2727,13.09086,654.543,363.635,654.543,20,60,6.5,600,1.5,16
